Unicode(s)	Character(s)	Glyph name	Character name(s)	Added
0049,0323,0301	&#x0049;&#x0323;&#x0301;	n/a	LATIN CAPITAL LETTER I , COMBINING DOT BELOW , COMBINING ACUTE ACCENT	&bull;
0049,0323,0302	&#x0049;&#x0323;&#x0302;	n/a	LATIN CAPITAL LETTER I , COMBINING DOT BELOW , COMBINING CIRCUMFLEX ACCENT	&bull;
0049,0323,0303	&#x0049;&#x0323;&#x0303;	n/a	LATIN CAPITAL LETTER I , COMBINING DOT BELOW , COMBINING TILDE	&bull;
0049,0323,0304	&#x0049;&#x0323;&#x0304;	n/a	LATIN CAPITAL LETTER I , COMBINING DOT BELOW , COMBINING MACRON	&bull;
0049,0323,1DC4	&#x0049;&#x0323;&#x1DC4;	n/a	LATIN CAPITAL LETTER I , COMBINING DOT BELOW , COMBINING MACRON-ACUTE	&bull;
0049,0327	&#x0049;&#x0327;	uni00490327	LATIN CAPITAL LETTER I , COMBINING CEDILLA	&bull;
0049,0331	&#x0049;&#x0331;	n/a	LATIN CAPITAL LETTER I , COMBINING MACRON BELOW	&bull;
0049,1DC4	&#x0049;&#x1DC4;	n/a	LATIN CAPITAL LETTER I , COMBINING MACRON-ACUTE	&bull;
0049,1DC5	&#x0049;&#x1DC5;	n/a	LATIN CAPITAL LETTER I , COMBINING GRAVE-MACRON	&bull;
0049,1DC6	&#x0049;&#x1DC6;	n/a	LATIN CAPITAL LETTER I , COMBINING MACRON-GRAVE	&bull;
0049,1DC7	&#x0049;&#x1DC7;	n/a	LATIN CAPITAL LETTER I , COMBINING ACUTE-MACRON	&bull;
004D,0300	&#x004D;&#x0300;	n/a	LATIN CAPITAL LETTER M , COMBINING GRAVE ACCENT	&bull;
004D,0302	&#x004D;&#x0302;	n/a	LATIN CAPITAL LETTER M , COMBINING CIRCUMFLEX ACCENT	&bull;
004D,0304	&#x004D;&#x0304;	n/a	LATIN CAPITAL LETTER M , COMBINING MACRON	&bull;
004D,0327	&#x004D;&#x0327;	uni004D0327	LATIN CAPITAL LETTER M , COMBINING CEDILLA	&bull;
004E,0302	&#x004E;&#x0302;	n/a	LATIN CAPITAL LETTER N , COMBINING CIRCUMFLEX ACCENT	&bull;
004E,0304	&#x004E;&#x0304;	n/a	LATIN CAPITAL LETTER N , COMBINING MACRON	&bull;
004E,0308	&#x004E;&#x0308;	n/a	LATIN CAPITAL LETTER N , COMBINING DIAERESIS	&bull;
004F,0308,0300	&#x004F;&#x0308;&#x0300;	n/a	LATIN CAPITAL LETTER O , COMBINING DIAERESIS , COMBINING GRAVE ACCENT	&bull;
004F,0308,0301	&#x004F;&#x0308;&#x0301;	n/a	LATIN CAPITAL LETTER O , COMBINING DIAERESIS , COMBINING ACUTE ACCENT	&bull;
004F,0308,0302	&#x004F;&#x0308;&#x0302;	n/a	LATIN CAPITAL LETTER O , COMBINING DIAERESIS , COMBINING CIRCUMFLEX ACCENT	&bull;
004F,0308,030C	&#x004F;&#x0308;&#x030C;	n/a	LATIN CAPITAL LETTER O , COMBINING DIAERESIS , COMBINING CARON	&bull;
004F,0323,0300	&#x004F;&#x0323;&#x0300;	n/a	LATIN CAPITAL LETTER O , COMBINING DOT BELOW , COMBINING GRAVE ACCENT	&bull;
004F,0323,0301	&#x004F;&#x0323;&#x0301;	n/a	LATIN CAPITAL LETTER O , COMBINING DOT BELOW , COMBINING ACUTE ACCENT	&bull;
004F,0323,0303	&#x004F;&#x0323;&#x0303;	n/a	LATIN CAPITAL LETTER O , COMBINING DOT BELOW , COMBINING TILDE	&bull;
004F,0323,0304	&#x004F;&#x0323;&#x0304;	n/a	LATIN CAPITAL LETTER O , COMBINING DOT BELOW , COMBINING MACRON	&bull;
004F,0323,030C	&#x004F;&#x0323;&#x030C;	n/a	LATIN CAPITAL LETTER O , COMBINING DOT BELOW , COMBINING CARON	&bull;
